"","id","risq","NBCAV","SEXE","DATE_EER","AGE","tranche_age","PNB"
"31389",32349689,1,1,"F",1986-11-01,57,"55-59 ans",396.47177220566
"31390",32349691,1,0.5,"M",1976-02-01,51,"50-54 ans",163.941690618537
"31391",32349696,1,0.5,"M",1972-06-01,83,"80 ans et +",539.35514036998
"31392",32349698,1,1,"M",1990-01-01,50,"50-54 ans",817.863025352135
"31393",32349699,3,1,"F",1992-02-01,77,"75-79 ans",626.322883855698
"31394",32349700,1,2,"M",1998-09-18,36,"35-39 ans",208.642122024852
"31395",32349705,1,0.5,"M",1987-08-01,64,"60-64 ans",2975.17713387994
"31396",32349706,3,1,"F",1990-12-01,65,"65-69 ans",1265.45381857861
"31397",32349711,NA,0,"F",1995-01-01,39,"35-39 ans",34.5693330498283
"31398",32349712,1,0.5,"F",1998-08-21,83,"80 ans et +",1081.49704851333
"31399",32349713,1,1,"M",1989-02-01,59,"55-59 ans",191.363256352253
"31400",32349714,1,0.5,"F",1970-12-01,83,"80 ans et +",503.907396674363
"31401",32349715,1,0.5,"M",1998-09-18,56,"55-59 ans",72.055893343495
"31402",32349716,1,1.5,"F",1989-07-01,67,"65-69 ans",843.233566009663
"31403",32349719,2,1,"F",1990-01-01,67,"65-69 ans",749.31215029556
"31404",32349720,1,0.5,"M",1996-08-01,77,"75-79 ans",1373.15508431592
"31405",32349721,1,1,"F",1991-01-01,43,"40-44 ans",195.239222033985
"31406",32349722,1,0.5,"F",1998-09-18,52,"50-54 ans",230.349412669711
"31407",32349723,1,0.5,"F",1979-11-01,65,"65-69 ans",330.458685928308
"31408",32349724,0,0.916666666666667,"F",1988-01-01,40,"40-44 ans",118.825233803939
"31409",32349725,1,0.666666666666667,"M",1998-09-18,18,"18-22 ans",87.6900199850386
"31410",32349726,1,0.5,"M",1967-12-01,84,"80 ans et +",991.266693879987
"31411",32349727,1,1,"F",1982-10-01,54,"50-54 ans",513.87392429745
"31412",32349729,1,0.5,"F",1994-05-01,58,"55-59 ans",566.080024205044
"31413",32349731,1,0.5,"F",1984-01-01,66,"65-69 ans",766.321772572651
"31414",32349732,2,1,"M",1981-02-01,59,"55-59 ans",637.750941618363
"31415",32349736,NA,0,"M",1990-06-01,33,"30-34 ans",7.98742115
"31416",32349737,1,0.5,"F",1968-08-01,76,"75-79 ans",877.016697148798
"31417",32349739,0,NA,"F",1975-10-01,56,"55-59 ans",0.212065401187125
"31418",32349740,0,1,"M",1990-11-01,39,"35-39 ans",417.301506905022
"31419",32349741,1,1,"M",1986-10-01,72,"70-74 ans",318.452082771714
"31420",32349743,2,1.5,"M",1997-01-01,47,"45-49 ans",546.446269646103
"31421",32349744,1,1,"F",1985-02-14,64,"60-64 ans",632.598201426544
"31422",32349747,1,0.5,"M",1995-06-01,41,"40-44 ans",1160.29911073983
"31423",32349748,3,0.5,"M",1998-09-18,54,"50-54 ans",1283.36562772929
"31424",32349750,NA,0.333333333333333,"F",1983-10-01,87,"80 ans et +",328.348424328368
"31425",32349751,1,0.5,"F",1992-12-01,49,"45-49 ans",115.585440814967
"31426",32349754,1,1,"F",1981-08-01,58,"55-59 ans",7323.1599078311
"31427",32349755,1,0.5,"F",1987-01-01,51,"50-54 ans",214.113814488644
"31428",32349757,NA,NA,"F",1998-09-18,23,"23-24 ans",0.00557096115166668
"31429",32349760,5,1,"F",1992-04-01,44,"40-44 ans",1134.83176763714
"31430",32349761,1,1.5,"M",1998-09-18,33,"30-34 ans",176.103167479109
"31431",32349763,1,1,"F",1989-11-01,65,"65-69 ans",328.642941116096
"31432",32349764,1,1,"M",1990-03-01,43,"40-44 ans",892.188737778481
"31433",32349766,1,0.5,"F",1987-10-01,53,"50-54 ans",647.26246617118
"31434",32349768,1,1,"F",1992-09-01,53,"50-54 ans",937.561815475418
"31435",32349769,NA,NA,"M",1996-08-01,15,"12-15 ans",0.3367069031805
"31436",32349770,1,0.5,"F",1982-04-01,56,"55-59 ans",137.362067163303
"31437",32349771,1,1,"M",1998-09-18,33,"30-34 ans",748.236215512844
"31438",32349772,1,1,"M",1992-07-01,43,"40-44 ans",199.685069876097
"31439",32349774,4,0.5,"M",1971-06-01,50,"50-54 ans",1719.93894683317
"31440",32349778,1,0.5,"F",1977-04-01,74,"70-74 ans",320.513198004907
"31441",32349784,1,1,"F",1975-12-01,71,"70-74 ans",322.629475505361
"31442",32349786,1,0.5,"M",1989-01-01,68,"65-69 ans",129.671878878283
"31443",32349788,1,1,"M",1997-02-01,38,"35-39 ans",759.501626189134
"31444",32349790,1,1,"F",1992-07-01,40,"40-44 ans",216.950216819592
"31445",32349791,1,1,"M",1991-11-01,47,"45-49 ans",251.353263795953
"31446",32349792,1,1,"M",1998-09-18,24,"23-24 ans",276.526380486114
"31447",32349794,NA,0.333333333333333,"M",1995-02-01,47,"45-49 ans",7.20152500405298
"31448",32349797,NA,0.25,"F",1976-05-01,65,"65-69 ans",8.01567720063066
"31449",32349798,1,1,"M",1998-09-18,22,"18-22 ans",142.664299407974
"31450",32349800,1,0.5,"F",1976-12-01,59,"55-59 ans",662.446514925077
"31451",32349801,1,1,"F",1988-06-01,56,"55-59 ans",543.637887206912
"31452",32349802,NA,0.583333333333333,"M",1998-09-18,19,"18-22 ans",41.1111490721459
"31453",32349803,0,0.5,"F",1975-12-01,83,"80 ans et +",169.178831874514
"31454",32349804,1,0.5,"M",1987-02-01,45,"45-49 ans",669.681376516596
"31455",32349806,0,1.08333333333333,"F",1994-07-01,82,"80 ans et +",731.919728201579
"31456",32349809,1,1,"F",1977-06-01,51,"50-54 ans",985.382111623174
"31457",32349810,1,0.5,"M",1986-11-01,81,"80 ans et +",130.0553079649
"31458",32349811,1,1,"F",1990-07-01,47,"45-49 ans",612.776849091464
"31459",32349813,NA,0,"F",1994-11-01,39,"35-39 ans",23.60812337
"31460",32349816,1,0.5,"F",1973-04-01,56,"55-59 ans",304.719818724903
"31461",32349818,1,1,"F",1986-03-01,91,"80 ans et +",1607.39202524587
"31462",32349819,3,1,"M",1990-11-01,49,"45-49 ans",1693.12494285742
"31463",32349820,1,1.5,"F",1987-09-01,76,"75-79 ans",669.812652202683
"31464",32349821,1,1,"F",1998-09-17,31,"30-34 ans",8.08629129326
"31465",32349822,1,0.5,"M",1970-09-01,71,"70-74 ans",72.9836238874255
"31466",32349823,NA,NA,"M",1988-05-01,56,"55-59 ans",87.2271326431124
"31467",32349824,1,1,"M",1980-04-01,80,"80 ans et +",1137.23476041058
"31468",32349825,1,1.5,"F",1995-10-01,56,"55-59 ans",349.331581037413
"31469",32349827,0,NA,"M",1978-07-01,66,"65-69 ans",0.825570246024433
"31470",32349829,1,1.5,"F",1992-12-01,43,"40-44 ans",1961.50005802703
"31471",32349830,1,1.5,"F",1992-12-01,50,"50-54 ans",438.687249559758
"31472",32349831,1,0.5,"F",1985-06-01,49,"45-49 ans",378.061891251061
"31473",32349832,NA,0.166666666666667,"M",1994-01-01,80,"80 ans et +",136.52681698427
"31474",32349833,1,1,"F",1983-03-01,59,"55-59 ans",44.3938796542334
"31475",32349836,1,1,"F",1995-02-01,33,"30-34 ans",812.758907659561
"31476",32349837,1,1,"F",1985-01-01,64,"60-64 ans",1566.56001811022
"31477",32349840,1,1,"F",1995-12-29,28,"28-29 ans",611.545749709017
"31478",32349841,1,1,"M",1978-11-01,54,"50-54 ans",162.506227486492
"31479",32349842,1,1,"F",1998-09-18,31,"30-34 ans",283.879124370269
"31480",32349843,1,1,"F",1977-01-01,90,"80 ans et +",1632.3922018822
"31481",32349844,1,0.5,"F",1987-07-01,49,"45-49 ans",287.705011761593
"31482",32349845,1,0.5,"M",1996-07-01,71,"70-74 ans",367.330513643568
"31483",32349846,1,1,"F",1998-09-18,35,"35-39 ans",1063.98699475719
"31484",32349847,0,1,"M",1971-09-01,62,"60-64 ans",1227.91439171241
"31485",32349848,0,NA,"F",1989-01-01,24,"23-24 ans",21.5765500584929
"31486",32349850,1,0.5,"F",1984-10-01,43,"40-44 ans",181.948926880007
